Gene	Padj	logFC	SNP	File	isAsian
SLC26A3	7.93025442139162e-11	-1.04530644929166	rs2108225,rs4380874,rs4730276,rs4598195,rs2158836	UCvSC.ENT.csv	1
SLC26A3	1.73872904923803e-09	-0.757483106674591	rs2108225,rs4380874,rs4730276,rs4598195,rs2158836	UCvSC.GP.csv	1
SLC26A3	0.00371261383860494	-0.569229114636168	rs2108225,rs4380874,rs4730276,rs4598195,rs2158836	UCvHC.GP.csv	1
SLC26A3	0.00100033225687701	-0.476413771316669	rs2108225,rs4380874,rs4730276,rs4598195,rs2158836	UCvHC.LGRS.csv	1
SLC26A3	0.000154826072683201	-0.391293820393503	rs2108225,rs4380874,rs4730276,rs4598195,rs2158836	UCvSC.LGRS.csv	1
PTPRC	2.98552539301077e-05	0.283761392415119	rs2359952	UCvHC.NCD4T.csv	1
PTPRC	1.44077577254503e-19	0.267716078846462	rs2359952	UCvHC.MCD4T.csv	1
IRF8	6.38346120686872e-24	1.32880961782299	rs16940186	UCvHC.MemB.csv	1
IRF8	5.50610209932924e-82	0.737087620251314	rs16940186	UCvHC.NaiB.csv	1
IRF8	2.69641406440029e-18	0.755624936121668	rs16940186	UCvHC.PAN.csv	1
HLA-DRB1	9.98716527315069e-05	-0.360193174437332	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.MKIP.csv	1
HLA-DRB1	8.00836588702379e-05	0.769902185405253	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.ENT.csv	1
HLA-DRB1	7.5134155972745e-07	0.68508306933907	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.MemB.csv	1
HLA-DRB1	6.75682035898714e-14	0.773743480077852	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.GP.csv	1
HLA-DRB1	5.98797502824859e-29	1.5742098786058	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvHC.LGRS.csv	1
HLA-DRB1	5.6803764587025e-22	0.994405091762181	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.EP.csv	1
HLA-DRB1	5.49678910313074e-33	1.53464519924779	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.LGRS.csv	1
HLA-DRB1	4.70919300332754e-39	1.03970056372574	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvHC.GOB.csv	1
HLA-DRB1	4.37684985011341e-09	1.40980989527897	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvHC.DCLKT.csv	1
HLA-DRB1	4.11942454181328e-19	0.861212269860656	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvHC.GP.csv	1
HLA-DRB1	3.92932987302258e-21	0.440394237932069	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.PLA1.csv	1
HLA-DRB1	3.24401195075311e-23	1.04361084492915	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvHC.EP.csv	1
HLA-DRB1	1.93919793775035e-19	1.02554065352254	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.GOB.csv	1
HLA-DRB1	1.29062857844854e-64	0.516137752285187	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvHC.PLA1.csv	1
HLA-DRB1	1.24358024811869e-07	0.5762555751194	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.NKT.csv	1
HLA-DRB1	1.04394767143871e-31	0.862689225658893	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvHC.NKT.csv	1
HLA-DRB1	0.000524982639837078	0.878398999632705	rs9268853,rs2395185,rs9271366,rs6927022,rs6927022,HLA-DRB1*0103,HLA-DRB1*1301	UCvSC.DCLKT.csv	1
HLA-DRA	7.47942873770019e-100	0.579009340870707	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.PLA1.csv	1
HLA-DRA	7.22887498842947e-52	0.534639578726826	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.PLA1.csv	1
HLA-DRA	6.33708033489227e-18	0.909856187601676	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.GOB.csv	1
HLA-DRA	5.73552883841492e-06	0.72786261864981	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.Dead.csv	1
HLA-DRA	5.43808165325761e-14	0.819307593697634	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.ENT.csv	1
HLA-DRA	5.30456048500023e-35	1.86633993747122	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.LGRS.csv	1
HLA-DRA	4.65309427573627e-33	0.869202537291003	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.GOB.csv	1
HLA-DRA	4.62253452263238e-08	0.370641467947088	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.CD8T.csv	1
HLA-DRA	3.83701547293748e-46	1.83674754049993	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.LGRS.csv	1
HLA-DRA	3.80614378412752e-05	0.70797311026342	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.PLA2.csv	1
HLA-DRA	3.63004408388851e-21	0.797509972936161	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.GP.csv	1
HLA-DRA	3.57300068257741e-09	1.3417926460424	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.DCLKT.csv	1
HLA-DRA	3.02546888565778e-14	0.670385981429805	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.NKT.csv	1
HLA-DRA	2.89255704365282e-40	1.15735872417753	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.EP.csv	1
HLA-DRA	2.54842684095597e-05	0.250374139570268	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.NCD4T.csv	1
HLA-DRA	2.3443565877996e-08	0.654202453144941	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.MemB.csv	1
HLA-DRA	2.26849407197809e-52	1.46410294174533	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.EP.csv	1
HLA-DRA	1.84217572991839e-23	0.71562667480319	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvHC.NKT.csv	1
HLA-DRA	1.70949289779126e-17	1.09076246467635	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.ENT.csv	1
HLA-DRA	1.40999084977566e-23	0.85972959433666	rs2239802,rs9268853,rs9268877,rs9268923,rs2395185,rs6927022,rs6927022,rs1063355,rs2395128	UCvSC.GP.csv	1
