REPORTED GENE(S)	CHR_ID	CHR_POS	SNPS	P-VALUE	PUBMEDID	INITIAL SAMPLE SIZE
SCNN1D	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CPSF3L	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TAS1R3	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
RP4-758J18.2	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MRPL20	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
UBE2J2	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ACAP3	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PUSL1	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GLTPD1	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DVL1	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MXRA8	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCNL2	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AURKAIP1	1	1312114	rs12103	3.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TNFRSF14	1	2567423	rs1555791	2.00E-06	26398853	705 Korean ancestry cases, 1,178 Korean ancestry controls
FAM213B	1	2569899	rs10797432	1.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
